Dataset name: Old World Drought Atlas
Dataset details: owda v.1_0_0 pdsi jja
Method(s): ['OWDA']
Lat/lon or region: 42.75 degN 21.25 degE
---
Original source URL: https://www.ncei.noaa.gov/access/paleo-search/study/19419
New reference period: none
Notes: Processed by PReSto (https://paleopresto.com/)
---
Time: Year (CE)
Data: Palmer Drought Severity Index (PDSI)
---
Year (CE),OWDA mean (PDSI)
1460.00,0.67
1461.00,2.59
1462.00,1.42
1463.00,1.75
1464.00,3.49
1465.00,2.49
1466.00,2.50
1467.00,3.31
1468.00,2.98
1469.00,0.18
1470.00,0.66
1471.00,3.17
1472.00,3.00
1473.00,0.16
1474.00,0.56
1475.00,0.32
1476.00,1.67
1477.00,0.52
1478.00,0.49
1479.00,-2.00
1480.00,-1.65
1481.00,2.83
1482.00,2.54
1483.00,-0.46
1484.00,-1.54
1485.00,-1.00
1486.00,-0.29
1487.00,-1.20
1488.00,-1.31
1489.00,-0.74
1490.00,0.12
1491.00,-0.41
1492.00,1.50
1493.00,-0.67
1494.00,0.19
1495.00,1.76
1496.00,5.29
1497.00,-0.06
1498.00,-0.19
1499.00,1.91
1500.00,-2.20
1501.00,-0.27
1502.00,0.25
1503.00,2.83
1504.00,2.29
1505.00,-1.43
1506.00,-1.86
1507.00,-0.30
1508.00,0.62
1509.00,-1.20
1510.00,-1.71
1511.00,-3.58
1512.00,-4.32
1513.00,-0.28
1514.00,1.43
1515.00,-1.18
1516.00,-3.71
1517.00,-5.35
1518.00,-4.41
1519.00,-2.30
1520.00,-2.83
1521.00,-2.72
1522.00,-2.19
1523.00,-0.15
1524.00,-2.03
1525.00,1.25
1526.00,0.87
1527.00,2.97
1528.00,-0.89
1529.00,-1.17
1530.00,1.69
1531.00,2.49
1532.00,2.64
1533.00,1.87
1534.00,1.36
1535.00,2.04
1536.00,-0.33
1537.00,1.46
1538.00,1.65
1539.00,0.33
1540.00,1.41
1541.00,1.20
1542.00,-0.06
1543.00,-0.08
1544.00,-0.66
1545.00,0.18
1546.00,-0.05
1547.00,-0.89
1548.00,0.40
1549.00,0.41
1550.00,0.78
1551.00,-1.08
1552.00,-1.54
1553.00,2.38
1554.00,3.61
1555.00,1.08
1556.00,0.50
1557.00,-0.52
1558.00,2.71
1559.00,0.81
1560.00,-2.61
1561.00,-2.45
1562.00,0.42
1563.00,1.79
1564.00,1.53
1565.00,-0.95
1566.00,-0.65
1567.00,-1.51
1568.00,0.43
1569.00,-0.33
1570.00,0.03
1571.00,0.06
1572.00,0.09
1573.00,-1.75
1574.00,-1.96
1575.00,-0.77
1576.00,0.47
1577.00,-0.38
1578.00,0.93
1579.00,3.22
1580.00,0.84
1581.00,-1.11
1582.00,-0.30
1583.00,3.12
1584.00,0.48
1585.00,-4.21
1586.00,-0.14
1587.00,3.51
1588.00,2.16
1589.00,3.00
1590.00,4.22
1591.00,0.59
1592.00,0.77
1593.00,1.56
1594.00,1.87
1595.00,2.27
1596.00,1.52
1597.00,1.89
1598.00,1.87
1599.00,1.66
1600.00,-0.49
1601.00,5.34
1602.00,1.64
1603.00,-0.10
1604.00,2.91
1605.00,5.78
1606.00,2.79
1607.00,0.43
1608.00,0.97
1609.00,-0.06
1610.00,-2.42
1611.00,-0.48
1612.00,0.01
1613.00,0.32
1614.00,2.83
1615.00,-1.44
1616.00,0.10
1617.00,-0.40
1618.00,-2.26
1619.00,-2.33
1620.00,0.69
1621.00,1.40
1622.00,1.79
1623.00,-1.57
1624.00,-1.49
1625.00,-1.97
1626.00,-0.23
1627.00,1.75
1628.00,-0.15
1629.00,4.03
1630.00,2.94
1631.00,2.42
1632.00,-0.03
1633.00,-1.15
1634.00,-0.35
1635.00,0.28
1636.00,-0.25
1637.00,-1.03
1638.00,-0.33
1639.00,-0.07
1640.00,-0.05
1641.00,2.92
1642.00,1.91
1643.00,1.05
1644.00,0.26
1645.00,-1.93
1646.00,2.88
1647.00,2.08
1648.00,-0.56
1649.00,1.12
1650.00,-0.64
1651.00,0.23
1652.00,3.65
1653.00,1.84
1654.00,-1.79
1655.00,0.64
1656.00,1.52
1657.00,-1.14
1658.00,-1.90
1659.00,0.49
1660.00,-6.68
1661.00,-1.64
1662.00,-0.55
1663.00,-2.08
1664.00,-3.19
1665.00,-1.77
1666.00,-0.15
1667.00,2.24
1668.00,0.52
1669.00,1.51
1670.00,0.65
1671.00,-0.79
1672.00,-3.00
1673.00,-0.83
1674.00,1.53
1675.00,6.19
1676.00,2.77
1677.00,1.28
1678.00,4.69
1679.00,1.14
1680.00,-1.14
1681.00,2.03
1682.00,0.44
1683.00,-2.49
1684.00,-2.06
1685.00,-1.18
1686.00,-0.94
1687.00,-3.77
1688.00,-1.49
1689.00,2.30
1690.00,1.36
1691.00,2.32
1692.00,1.24
1693.00,-0.54
1694.00,-0.50
1695.00,4.40
1696.00,-0.07
1697.00,-0.19
1698.00,3.64
1699.00,4.95
1700.00,5.05
1701.00,-1.08
1702.00,0.24
1703.00,0.39
1704.00,0.99
1705.00,1.44
1706.00,-0.42
1707.00,0.73
1708.00,-1.76
1709.00,0.15
1710.00,-0.58
1711.00,-0.33
1712.00,2.14
1713.00,1.58
1714.00,1.67
1715.00,-2.02
1716.00,1.38
1717.00,5.39
1718.00,0.41
1719.00,1.00
1720.00,2.06
1721.00,0.41
1722.00,-0.96
1723.00,2.97
1724.00,0.39
1725.00,-3.20
1726.00,-0.06
1727.00,-0.24
1728.00,-0.91
1729.00,0.09
1730.00,1.27
1731.00,3.24
1732.00,-0.48
1733.00,-2.26
1734.00,-1.49
1735.00,1.23
1736.00,1.54
1737.00,-0.68
1738.00,0.32
1739.00,-1.50
1740.00,1.90
1741.00,1.78
1742.00,2.93
1743.00,0.15
1744.00,1.41
1745.00,2.04
1746.00,-0.57
1747.00,-0.37
1748.00,0.60
1749.00,3.71
1750.00,-1.62
1751.00,0.61
1752.00,-2.22
1753.00,2.99
1754.00,0.62
1755.00,-0.88
1756.00,0.21
1757.00,0.14
1758.00,-0.42
1759.00,-0.10
1760.00,0.21
1761.00,1.18
1762.00,-0.09
1763.00,-1.75
1764.00,2.25
1765.00,0.18
1766.00,1.63
1767.00,2.63
1768.00,-0.16
1769.00,0.27
1770.00,0.60
1771.00,1.81
1772.00,-0.37
1773.00,-0.00
1774.00,-0.75
1775.00,-1.54
1776.00,1.73
1777.00,-1.03
1778.00,2.91
1779.00,0.63
1780.00,2.02
1781.00,-0.21
1782.00,-3.16
1783.00,-2.06
1784.00,-1.74
1785.00,-1.10
1786.00,-0.40
1787.00,-0.66
1788.00,-1.19
1789.00,-0.01
1790.00,-1.16
1791.00,2.60
1792.00,-0.15
1793.00,-1.81
1794.00,-2.14
1795.00,-0.74
1796.00,0.11
1797.00,-2.47
1798.00,1.06
1799.00,0.28
1800.00,-0.18
1801.00,-1.33
1802.00,-1.05
1803.00,1.00
1804.00,-1.11
1805.00,-0.53
1806.00,-2.59
1807.00,-1.86
1808.00,0.65
1809.00,1.69
1810.00,-1.84
1811.00,-0.29
1812.00,3.09
1813.00,0.87
1814.00,7.65
1815.00,1.77
1816.00,3.04
1817.00,4.49
1818.00,4.91
1819.00,6.32
1820.00,2.33
1821.00,2.83
1822.00,1.11
1823.00,-0.35
1824.00,0.70
1825.00,2.42
1826.00,1.34
1827.00,2.57
1828.00,-2.26
1829.00,-0.32
1830.00,-1.11
1831.00,0.94
1832.00,1.18
1833.00,1.64
1834.00,-2.73
1835.00,3.48
1836.00,-0.31
1837.00,1.29
1838.00,-0.00
1839.00,1.57
1840.00,-1.16
1841.00,-0.37
1842.00,4.16
1843.00,1.61
1844.00,-0.21
1845.00,-0.15
1846.00,-0.28
1847.00,0.33
1848.00,-0.28
1849.00,-0.86
1850.00,4.43
1851.00,1.90
1852.00,1.44
1853.00,0.90
1854.00,0.47
1855.00,0.96
1856.00,0.45
1857.00,2.28
1858.00,1.31
1859.00,0.64
1860.00,-0.74
1861.00,-0.13
1862.00,-2.67
1863.00,-2.25
1864.00,0.11
1865.00,-0.39
1866.00,-3.16
1867.00,-1.72
1868.00,-0.77
1869.00,-1.78
1870.00,-0.67
1871.00,1.97
1872.00,-0.13
1873.00,-2.43
1874.00,-1.53
1875.00,-1.21
1876.00,-0.11
1877.00,-0.49
1878.00,-3.13
1879.00,-1.99
1880.00,-3.08
1881.00,2.32
1882.00,-0.41
1883.00,1.39
1884.00,2.47
1885.00,1.71
1886.00,1.13
1887.00,-1.79
1888.00,-4.14
1889.00,-0.92
1890.00,-0.06
1891.00,-1.72
1892.00,1.01
1893.00,0.46
1894.00,-1.63
1895.00,-0.78
1896.00,0.93
1897.00,0.45
1898.00,2.04
1899.00,2.48
1900.00,1.31
1901.00,3.04
1902.00,-0.44
1903.00,-0.07
1904.00,-0.50
1905.00,-0.58
1906.00,0.35
1907.00,-1.08
1908.00,-0.87
1909.00,-0.55
1910.00,0.28
1911.00,-0.07
1912.00,2.14
1913.00,1.86
1914.00,4.63
1915.00,3.64
1916.00,-0.24
1917.00,2.67
1918.00,-1.06
1919.00,2.44
1920.00,0.55
1921.00,0.47
1922.00,0.07
1923.00,0.79
1924.00,0.46
1925.00,0.49
1926.00,1.72
1927.00,-0.28
1928.00,-2.88
1929.00,1.34
1930.00,-0.60
1931.00,-0.45
1932.00,-0.37
1933.00,1.66
1934.00,1.03
1935.00,-1.83
1936.00,2.43
1937.00,1.60
1938.00,1.37
1939.00,2.88
1940.00,4.90
1941.00,4.38
1942.00,-1.57
1943.00,-0.59
1944.00,0.75
1945.00,-1.29
1946.00,-1.20
1947.00,-1.93
1948.00,-1.22
1949.00,-2.22
1950.00,-3.39
1951.00,-2.32
1952.00,-2.83
1953.00,-1.64
1954.00,0.98
1955.00,0.17
1956.00,1.96
1957.00,-0.34
1958.00,-0.12
1959.00,3.52
1960.00,3.23
1961.00,1.31
1962.00,-1.34
1963.00,-0.98
1964.00,1.26
1965.00,0.43
1966.00,0.56
1967.00,2.54
1968.00,0.53
1969.00,-1.11
1970.00,-0.12
1971.00,0.97
1972.00,1.51
1973.00,1.40
1974.00,2.54
1975.00,3.58
1976.00,3.84
1977.00,-0.61
1978.00,-2.15
1979.00,0.70
1980.00,1.66
1981.00,1.48
1982.00,-1.13
1983.00,1.67
1984.00,-1.01
1985.00,-2.08
1986.00,1.44
1987.00,-0.63
1988.00,-2.72
1989.00,-2.61
1990.00,-4.47
1991.00,-2.38
1992.00,-1.69
1993.00,-3.77
1994.00,1.00
1995.00,1.83
1996.00,1.37
1997.00,0.77
1998.00,1.02
1999.00,-0.48
2000.00,-2.31
2001.00,-2.10
2002.00,-0.65
2003.00,-2.00
2004.00,1.36
2005.00,2.25
2006.00,2.57
2007.00,-0.77
2008.00,-1.22
2009.00,0.48
2010.00,1.66
2011.00,-2.28
2012.00,-2.28
