Dataset name: Old World Drought Atlas
Dataset details: owda v.1_0_0 pdsi jja
Method(s): ['OWDA']
Lat/lon or region: 42.75 degN 21.25 degE
---
Original source URL: https://www.ncei.noaa.gov/access/paleo-search/study/19419
New reference period: none
Notes: Processed by PReSto (https://paleopresto.com/)
---
Time: Year (CE)
Data: Palmer Drought Severity Index (PDSI)
---
Year (CE),OWDA mean (PDSI)
354.00,0.77
355.00,3.12
356.00,3.23
357.00,1.79
358.00,2.21
359.00,2.53
360.00,0.05
361.00,0.05
362.00,-0.44
363.00,1.09
364.00,3.67
365.00,1.07
366.00,1.70
367.00,2.41
368.00,4.19
369.00,2.56
370.00,0.78
371.00,1.13
372.00,-0.18
373.00,0.78
374.00,-1.02
375.00,5.46
376.00,-0.53
377.00,1.11
378.00,0.18
379.00,-0.94
380.00,1.42
381.00,0.07
382.00,-0.02
383.00,1.81
384.00,0.20
385.00,0.43
386.00,-0.66
387.00,2.12
388.00,2.59
389.00,2.99
390.00,0.90
391.00,2.16
392.00,2.06
393.00,2.39
394.00,2.17
395.00,3.28
396.00,2.09
397.00,2.28
398.00,2.42
399.00,-0.45
400.00,1.25
401.00,0.19
402.00,0.72
403.00,-1.05
404.00,-0.80
405.00,-0.12
406.00,-0.97
407.00,-1.03
408.00,-0.88
409.00,0.78
410.00,0.15
411.00,-0.56
412.00,1.19
413.00,2.40
414.00,3.24
415.00,0.34
416.00,0.36
417.00,0.13
418.00,0.66
419.00,-0.75
420.00,0.35
421.00,0.95
422.00,0.62
423.00,0.37
424.00,1.16
425.00,2.41
426.00,3.26
427.00,0.91
428.00,-0.76
429.00,-1.84
430.00,1.16
431.00,-0.28
432.00,-1.21
433.00,-0.98
434.00,-0.61
435.00,1.49
436.00,-0.91
437.00,-1.47
438.00,0.29
439.00,-1.17
440.00,-1.80
441.00,-2.59
442.00,-2.74
443.00,-2.94
444.00,0.44
445.00,-0.12
446.00,-2.29
447.00,-0.67
448.00,0.64
449.00,-1.87
450.00,0.42
451.00,0.99
452.00,-0.89
453.00,-1.09
454.00,-1.45
455.00,-1.16
456.00,-1.15
457.00,-0.66
458.00,-0.41
459.00,-1.37
460.00,0.33
461.00,1.47
462.00,-0.69
463.00,-0.12
464.00,-0.24
465.00,-1.16
466.00,1.08
467.00,-0.27
468.00,-0.43
469.00,-0.97
470.00,-1.07
471.00,-0.83
472.00,-2.36
473.00,-0.76
474.00,-0.09
475.00,0.19
476.00,0.25
477.00,2.59
478.00,1.40
479.00,-1.29
480.00,-1.31
481.00,2.78
482.00,1.80
483.00,1.31
484.00,-1.94
485.00,2.72
486.00,1.66
487.00,0.54
488.00,-0.24
489.00,0.96
490.00,-0.01
491.00,0.40
492.00,-1.22
493.00,-3.57
494.00,-0.82
495.00,-0.83
496.00,-2.16
497.00,-2.05
498.00,-2.37
499.00,-1.82
500.00,-1.06
501.00,0.08
502.00,-4.02
503.00,-0.72
504.00,-2.42
505.00,-2.69
506.00,-1.17
507.00,-1.38
508.00,-2.36
509.00,-2.31
510.00,-1.34
