Country_ID,Country_Name,Country_Name_Legacy,Region,UN_Region,Annex I,Collection,Collection_for_website
250,France,NA,Europe,"Europe, Western",TRUE,France,
251,France incl. Monaco,FRANCE (INCLUDING MONACO),Europe,"Europe, Western",TRUE,France,France
254,French Guiana,FRENCH GUIANA,South and Central America,"America, South",FALSE,France,France
258,French Polynesia,FRENCH POLYNESIA,Asia Pacific,Polynesia,FALSE,,
262,Djibouti,DJIBOUTI,Africa,"Africa, Eastern",FALSE,,
263,French Equatorial Africa,FRENCH EQUATORIAL AFRICA,Africa,"Africa, Middle",FALSE,French Equatorial Africa,French Equatorial Africa
265,French Indo-China,FRENCH INDO-CHINA,Asia Pacific,"Asia, South-eastern",FALSE,French Indo-China,French Indo-China
266,Gabon,GABON,Africa,"Africa, Middle",FALSE,French Equatorial Africa,French Equatorial Africa
267,French West Africa,FRENCH WEST AFRICA,Africa,"Africa, Western",FALSE,French West Africa,French West Africa
268,Georgia,GEORGIA,Europe,"Asia, Western",FALSE,Soviet Union,Soviet Union
270,Gambia,GAMBIA,Africa,"Africa, Western",FALSE,,
275,State of Palestine,OCCUPIED PALESTINIAN TERRITORY,Middle East,"Asia, Western",FALSE,,
276,Germany,GERMANY,Europe,"Europe, Western",TRUE,Germany,Germany
278,German Democratic Republic [former],FORMER GERMAN DEMOCRATIC REPUBLIC,Europe,"Europe, Western",FALSE,Germany,Germany
280,"Germany, Federal Republic of",FEDERAL REPUBLIC OF GERMANY,Europe,"Europe, Western",FALSE,Germany,Germany
288,Ghana,GHANA,Africa,"Africa, Western",FALSE,,
292,Gibraltar,GIBRALTAR,Europe,"Europe, Southern",FALSE,,
296,Kiribati,KIRIBATI,Asia Pacific,Micronesia,FALSE,,
300,Greece,GREECE,Europe,"Europe, Southern",TRUE,,
304,Greenland,GREENLAND,North America,"America, Northern",FALSE,,
308,Grenada,GRENADA,South and Central America,Caribbean,FALSE,,
312,Guadeloupe,GUADELOUPE,South and Central America,Caribbean,FALSE,France,France
316,Guam,GUAM,Asia Pacific,Micronesia,FALSE,United States,
320,Guatemala,GUATEMALA,South and Central America,"America, Central",FALSE,,
324,Guinea,GUINEA,Africa,"Africa, Western",FALSE,French West Africa,French West Africa
328,Guyana,GUYANA,South and Central America,"America, South",FALSE,,
332,Haiti,HAITI,South and Central America,Caribbean,FALSE,,
336,Holy See,NA,Europe,"Europe, Southern",FALSE,Italy,
340,Honduras,HONDURAS,South and Central America,"America, Central",FALSE,,
344,"China, Hong Kong Special Administrative Region",HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,Asia Pacific,"Asia, Eastern",FALSE,,
348,Hungary,HUNGARY,Europe,"Europe, Eastern",TRUE,,
352,Iceland,ICELAND,Europe,"Europe, Northern",TRUE,,
356,India,INDIA,Asia Pacific,"Asia, Southern",FALSE,,
360,Indonesia,INDONESIA,Asia Pacific,"Asia, South-eastern",FALSE,Indonesia,Indonesia
364,Iran (Islamic Republic of),ISLAMIC REPUBLIC OF IRAN,Middle East,"Asia, Southern",FALSE,,
368,Iraq,IRAQ,Middle East,"Asia, Western",FALSE,,
372,Ireland,IRELAND,Europe,"Europe, Northern",TRUE,,
376,Israel,ISRAEL,Middle East,"Asia, Western",FALSE,,
380,Italy,NA,Europe,"Europe, Southern",TRUE,Italy,
382,Italy and San Marino,ITALY (INCLUDING SAN MARINO),Europe,"Europe, Southern",TRUE,Italy,
384,Cote d'Ivoire,COTE D IVOIRE,Africa,"Africa, Western",FALSE,French West Africa,French West Africa
388,Jamaica,JAMAICA,South and Central America,Caribbean,FALSE,,
392,Japan,JAPAN,Asia Pacific,"Asia, Eastern",TRUE,Japan,Japan
393,Japan [exc. Okinawa],JAPAN (EXCLUDING THE RUYUKU ISLANDS),Asia Pacific,"Asia, Eastern",TRUE,Japan,
398,Kazakhstan,KAZAKHSTAN,Commonwealth of Independent States,"Asia, Central",FALSE,Soviet Union,Soviet Union
400,Jordan,JORDAN,Middle East,"Asia, Western",FALSE,,
404,Kenya,KENYA,Africa,"Africa, Eastern",FALSE,,
408,Democratic People's Republic of Korea,DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,Asia Pacific,"Asia, Eastern",FALSE,,
409,United Korea,UNITED KOREA,Asia Pacific,"Asia, Eastern",FALSE,,
410,Republic of Korea,REPUBLIC OF KOREA,Asia Pacific,"Asia, Eastern",FALSE,,
412,Kosovo,KOSOVO,Europe,"Europe, Southern",FALSE,Yugoslavia,Yugoslavia
414,Kuwait,KUWAIT,Middle East,"Asia, Western",FALSE,,
416,Kuwaiti Oil Fires,KUWAITI OIL FIRES,Middle East,"Asia, Western",FALSE,,
417,Kyrgyzstan,KYRGYZSTAN,Commonwealth of Independent States,"Asia, Central",FALSE,Soviet Union,Soviet Union
418,Lao People's Democratic Republic,LAO PEOPLE S DEMOCRATIC REPUBLIC,Asia Pacific,"Asia, South-eastern",FALSE,French Indo-China,French Indo-China
422,Lebanon,LEBANON,Middle East,"Asia, Western",FALSE,,
423,Leeward Islands,LEEWARD ISLANDS,South and Central America,Caribbean,FALSE,Leeward Islands,Leeward Islands
426,Lesotho,LESOTHO,Africa,"Africa, Southern",FALSE,,
428,Latvia,LATVIA,Europe,"Europe, Northern",TRUE,Soviet Union,Soviet Union
430,Liberia,LIBERIA,Africa,"Africa, Western",FALSE,,
434,Libya,LIBYAN ARAB JAMAHIRIYAH,Africa,"Africa, Northern",FALSE,,
438,Liechtenstein,LIECHTENSTEIN,Europe,"Europe, Western",TRUE,Switzerland,
440,Lithuania,LITHUANIA,Europe,"Europe, Northern",TRUE,Soviet Union,Soviet Union
442,Luxembourg,LUXEMBOURG,Europe,"Europe, Western",TRUE,,
446,"China, Macao Special Administrative Region",MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,Asia Pacific,"Asia, Eastern",FALSE,,
450,Madagascar,MADAGASCAR,Africa,"Africa, Eastern",FALSE,,
454,Malawi,MALAWI,Africa,"Africa, Eastern",FALSE,Rhodesia-Nyasaland,Rhodesia-Nyasaland
455,"Federation of Malaya, Sabah, Sarawak and Singapore",FEDERATION OF MALAYA-SINGAPORE,Asia Pacific,"Asia, South-eastern",FALSE,Malaysia,Malaysia
457,"Malaysia, Sarawak",SARAWAK,Asia Pacific,"Asia, South-eastern",FALSE,Malaysia,Malaysia
458,Malaysia,MALAYSIA,Asia Pacific,"Asia, South-eastern",FALSE,Malaysia,Malaysia
459,Malaysia (Peninsular),PENINSULAR MALAYSIA,Asia Pacific,"Asia, South-eastern",FALSE,Malaysia,Malaysia
461,"Malaysia, Sabah",SABAH,Asia Pacific,"Asia, South-eastern",FALSE,Malaysia,Malaysia
462,Maldives,MALDIVES,Asia Pacific,"Asia, Southern",FALSE,,
466,Mali,MALI,Africa,"Africa, Western",FALSE,French West Africa,French West Africa
470,Malta,MALTA,Europe,"Europe, Southern",TRUE,,
474,Martinique,MARTINIQUE,South and Central America,Caribbean,FALSE,France,France
478,Mauritania,MAURITANIA,Africa,"Africa, Western",FALSE,French West Africa,French West Africa
480,Mauritius,MAURITIUS,Africa,"Africa, Eastern",FALSE,,
484,Mexico,MEXICO,North America,"America, Central",FALSE,,
492,Monaco,NA,Europe,"Europe, Western",TRUE,France,
496,Mongolia,MONGOLIA,Asia Pacific,"Asia, Eastern",FALSE,,
498,Republic of Moldova,REPUBLIC OF MOLDOVA,Commonwealth of Independent States,"Europe, Eastern",FALSE,Soviet Union,Soviet Union
499,Montenegro,MONTENEGRO,Europe,"Europe, Southern",FALSE,Yugoslavia,Yugoslavia
500,Montserrat,MONTSERRAT,South and Central America,Caribbean,FALSE,Leeward Islands,Leeward Islands
504,Morocco,MOROCCO,Africa,"Africa, Northern",FALSE,,
508,Mozambique,MOZAMBIQUE,Africa,"Africa, Eastern",FALSE,,
512,Oman,OMAN,Middle East,"Asia, Western",FALSE,,
516,Namibia,NAMIBIA,Africa,"Africa, Southern",FALSE,,
520,Nauru,NAURU,Asia Pacific,Micronesia,FALSE,,
524,Nepal,NEPAL,Asia Pacific,"Asia, Southern",FALSE,,
528,"Netherlands, Kingdom of the",NETHERLANDS,Europe,"Europe, Western",TRUE,Netherlands,Netherlands
530,Netherlands Antilles,NETHERLAND ANTILLES,South and Central America,Caribbean,FALSE,Netherlands,Netherlands
531,Curaçao,CURACAO,South and Central America,Caribbean,FALSE,Netherlands,Netherlands
532,Netherlands Antilles and Aruba,NETHERLAND ANTILLES AND ARUBA,South and Central America,Caribbean,FALSE,Netherlands,Netherlands
533,Aruba,ARUBA,South and Central America,Caribbean,FALSE,Netherlands,Netherlands
534,Sint Maarten (Dutch part),SAINT MARTIN (DUTCH PORTION),South and Central America,Caribbean,FALSE,Netherlands,Netherlands
535,"Bonaire, Sint Eustatius and Saba","BONAIRE, SAINT EUSTATIUS, AND SABA",South and Central America,Caribbean,FALSE,Netherlands,Netherlands
540,New Caledonia,NEW CALEDONIA,Asia Pacific,Melanesia,FALSE,,
548,Vanuatu,VANUATU,Asia Pacific,Melanesia,FALSE,,
554,New Zealand,NEW ZEALAND,Asia Pacific,Australia and New Zealand,TRUE,,
558,Nicaragua,NICARAGUA,South and Central America,"America, Central",FALSE,,
562,Niger,NIGER,Africa,"Africa, Western",FALSE,French West Africa,French West Africa
566,Nigeria,NIGERIA,Africa,"Africa, Western",FALSE,,
570,Niue,NIUE,Asia Pacific,Polynesia,FALSE,,
578,Norway,NA,Europe,"Europe, Northern",TRUE,Norway,
579,Norway including Svalbard and Jan Mayen Islands,NORWAY,Europe,"Europe, Northern",TRUE,Norway,
580,Northern Mariana Islands,NORTHERN MARIANA ISLANDS,Asia Pacific,Micronesia,FALSE,Pacific Islands,Pacific Islands
582,Pacific Islands (Trust Territory),PACIFIC ISLANDS (PALAU),Asia Pacific,Micronesia,FALSE,Pacific Islands,Pacific Islands
